Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
El Viceministro Figueroa informa que #Guatemala se incorpora al grupo de países que publica las Estadísticas de las… https://t.co/RO14jpil11,https://twitter.com/i/web/status/1326929905754525696,12/11/2020 10:48:37,Twitter Web App,11,4,Minfin Guatemala,10:48:37,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
Las Estadísticas de las Finanzas Públicas #EFP permiten analizar de mejor manera el impacto de la política fiscal e… https://t.co/RexxY5QtEY,https://twitter.com/i/web/status/1326932531451727873,12/11/2020 10:59:03,Twitter Web App,6,1,Minfin Guatemala,10:59:03,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
Conoce más de la información de las Estadísticas de las Finanzas Públicas #EFP siguiendo estándares internacionales… https://t.co/lzj6jzDvLF,https://twitter.com/i/web/status/1326937375960932352,12/11/2020 11:18:18,Twitter Web App,4,0,Minfin Guatemala,11:18:18,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
"#ComunicadoDePrensa 
El Ministerio de Finanzas Públicas cumple en brindar información con estándares internacionale… https://t.co/7Ycl1wpQIQ",https://twitter.com/i/web/status/1326945464604905472,12/11/2020 11:50:26,Twitter Web App,10,3,Minfin Guatemala,11:50:26,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
"El Secretario Ejecutivo de @ASIES_GT, Dr. Pablo Hurtado, resalta la importancia y valor que tiene para el país el h… https://t.co/NEEEALJiun",https://twitter.com/i/web/status/1326984978308206592,12/11/2020 14:27:27,Twitter Web App,6,2,Minfin Guatemala,14:27:27,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
#Esquela | Expresamos nuestras sinceras condolencias a nuestra compañero Juan José Marroquín de la Cruz. https://t.co/x6arLo8Zru,https://twitter.com/i/web/status/1327005237752836101,12/11/2020 15:47:57,Hootsuite Inc.,3,1,Migración Guatemala,15:47:57,http://pbs.twimg.com/profile_images/1290300788347146241/7sOKfiDS.jpg
"#Retornados | Un grupo de guatemaltecos retornados, ingresaron este día al Albergue Ramiro de León Carpio, serán at… https://t.co/7GjZaMmSUT",https://twitter.com/i/web/status/1327038365796069377,12/11/2020 17:59:36,Twitter for iPhone,1,1,Migración Guatemala,17:59:36,http://pbs.twimg.com/profile_images/1290300788347146241/7sOKfiDS.jpg
"#Compromiso | 🤝 ¡Por una Migración regular, ordenada y segura! https://t.co/DkwrjUbyqn",https://twitter.com/i/web/status/1327234905848360961,13/11/2020 07:00:35,Hootsuite Inc.,0,0,Migración Guatemala,07:00:35,http://pbs.twimg.com/profile_images/1290300788347146241/7sOKfiDS.jpg
#Delegaciones | La actividad migratoria es normal en todas nuestras delegaciones. En el siguiente enlace encuentra… https://t.co/YckqDW8wC7,https://twitter.com/i/web/status/1327280447412457473,13/11/2020 10:01:32,Hootsuite Inc.,0,0,Migración Guatemala,10:01:32,http://pbs.twimg.com/profile_images/1290300788347146241/7sOKfiDS.jpg
RT @DrGiammattei: Estamos enfocados en abordar las estrategias y encontrar los puntos de acuerdo para tratar temas para la atención de COVI…,https://twitter.com/i/web/status/1327282396123852801,13/11/2020 10:09:17,Twitter Web App,0,12,MINEX Guatemala 🇬🇹,10:09:17,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
