name,url,description,datePublished,imagen,pais,Fuente
Covid-19: La situación en Guatemala,https://www.chapintv.com/noticia/covid-19-la-situacion-en-guatemala/,"Ministerio de Salud indica que en las últimas horas, se realizaron 685 pruebas de covid, de los cuales 80 marcaron positivo. Se le atribuye al covid-19 la muerte de siete personas en las últimas 24 ho",03-01-2021 02:32,https://www.bing.com/th?id=OVFT.4ATwyUVHZwrvv7CuDOQYJS,Guatemala,Chapin TV
Primer sábado del año: Confirman 159 casos de coronavirus,https://emisorasunidas.com/2021/01/03/casos-coronavirus-guatemala-2-de-enero-2021/,El Ministerio de Salud informó que este mes y el siguiente habrá un aumento de casos de coronavirus por la aglomeración de personas en diciembre.,03-01-2021 15:39,https://www.bing.com/th?id=OVFT.pNFewdNl2_re3E3Uh4ojfy,Guatemala,Emisoras Unidas
Guatemala supera los 138 mil 400 casos de COVID-19,https://elperiodico.com.gt/nacionales/2021/01/03/guatemala-supera-los-138-mil-400-casos-de-covid-19/,"Salud detalló que seis personas más fallecieron en las últimas 24 horas. El Ministerio de Salud Pública y Asistencia Social (MSPAS) actualizó el tablero de la situación del COVID-19 en el país, el cua",03-01-2021 17:08,https://www.bing.com/th?id=OVFT.N1avGwQdo7jstgFk4drF3i,Guatemala,El Periódico Guatemala
Papa Francisco crítica a quienes ignoran las restricciones por COVID-19 y salen de vacaciones,https://www.deguate.com/artman/publish/noticias-guatemala/papa-francisco-critica-a-quienes-ignoran-las-restricciones-por-covid-19-y-salen-de-vacaciones.shtml,El papa Francisco envió un fuerte mensaje a todos los que ignoran las restricciones contra el Covid-19 para salir de vacaciones a diferentes centros,03-01-2021 20:55,https://www.bing.com/th?id=OVFT.YmIIrw7iqjC66Co4jyn36S,Guatemala,De Guate
Salud reporta más de 138 mil casos acumulados registrados de coronavirus,https://elmetropolitano.com.gt/es/2021/01/03/salud-reporta-mas-de-138-mil-casos-acumulados-registrados-de-coronavirus/,"Durante las 24 horas recientes, en Guatemala se registraron 159 nuevos casos positivos de coronavirus (COVID-19), después de haber procesado 656 pruebas. Estas cifras se detallan en el más reciente re",03-01-2021 21:06,https://www.bing.com/th?id=OVFT.BkcX9QKT7K9zHC-7nv9Rzy,Guatemala,El Metropolitano
Vacuna contra covid-19: “El beneficio sobrepasa el riesgo”,https://www.prensalibre.com/pl-plus/guatemala/comunitario/vacuna-contra-covid-19-el-beneficio-sobrepasa-el-riesgo/,El médico guatemalteco Luis Fernando Escobar es consultor en Estados Unidos de la FDA y participa en la evaluación de las tecnologías aprobadas por el organismo estadounidense. El facultativo,04-01-2021 11:00,https://www.bing.com/th?id=OVFT.C4rJcb94IPtZyWblVP1iiC,Guatemala,Prensa Libre
Guatemala reporta 181 nuevos casos de COVID-19,https://stereo100.com.gt/2021/guatemala-reporta-181-nuevos-casos-de-covid-19/,"Por Luis Hernández | Este lunes, el Ministerio de Salud Pública y Asistencia Social (MSPAS) reporta en las últimas 24 horas, en Guatemala, 181 nuevos casos de COVID-19 y 2 fallecidos. https://twitter.",04-01-2021 16:19,https://www.bing.com/th?id=OVFT.zCMdKuymrlLBnzXWosa5vC,Guatemala,Stereo 100
Mario Escobar y Humberto Panjoj serán parte de los árbitros del Mundial de Clubes 2020,https://www.guatemala.com/deportes/futbol-guatemalteco/mario-escobar-y-humberto-panjoj-seran-parte-arbitros-mundial-clubes-2020.html,Los guatemaltecos Mario Escobar y Humberto Panjoj serán parte de los árbitros que participarán en el Mundial de Clubes de la FIFA de Qatar 2020.,04-01-2021 17:07,https://www.bing.com/th?id=OVFT.fK7W08b8hks9SidzMpcjsC,Guatemala,Guatemala
Empleados del sector público de Guatemala seguirán con horario especial,https://republica.gt/2021/01/04/empleados-del-sector-publico-de-guatemala-seguiran-con-horario-especial/,El horario especial de trabajo del sector público implementado para evitar los contagios de coronavirus continuará por seis meses más.,04-01-2021 17:50,https://www.bing.com/th?id=OVFT.aFFkKH7g-ju5o_MUvnfGTy,Guatemala,Republica
Covid-19: Ejecutivo presenta hoy iniciativa de ley para compra directa de vacunas,https://republica.gt/2021/01/04/covid-19-ejecutivo-presenta-hoy-iniciativa-de-ley-para-compra-directa-de-vacunas/,"La ministra de Finanzas, Amelia Flores informó que este lunes presentarán al Congreso, la iniciativa para realizar las compras por excepción",04-01-2021 17:58,https://www.bing.com/th?id=OVFT.mx1h2-vJIZyFoV1Sue5-YS,Guatemala,Republica
"Largas colas por falta de logística, predominan en elección del CANG",https://lahora.gt/largas-colas-por-falta-de-logistica-predominan-en-eleccion-del-cang/,"Por Denis Aguilar daguilar@lahora.com.gt Alianza por las Reformas denunció en redes sociales que, en la Asamblea del Colegio de Abogados y Notarios de Guatemala (CANG) para elegir al nuevo magistrado",04-01-2021 18:09,https://www.bing.com/th?id=OVFT.zmS1wsnoRwf498oHzJUyui,Guatemala,La Hora
Abogados elige a su magistrado ante la Corte de Constitucionalidad,https://crnnoticias.com/abogados-elige-a-su-magistrado-ante-la-corte-de-constitucionalidad/,El Colegio de Abogados y Notarios de Guatemala -CANG- elige a su representante titular ante la Corte de Constitucionalidad.,04-01-2021 19:43,https://www.bing.com/th?id=OVFT.2g5G1YN-Yv8b38zYZ3JZ-C,Guatemala,CRN Noticias
Abogados eligen a su magistrado ante la Corte de Constitucionalidad,https://crnnoticias.com/abogados-eligen-a-su-magistrado-ante-la-corte-de-constitucionalidad/,El Colegio de Abogados y Notarios de Guatemala -CANG- elige a su representante titular ante la Corte de Constitucionalidad.,04-01-2021 19:44,https://www.bing.com/th?id=OVFT.2g5G1YN-Yv8b38zYZ3JZ-C,Guatemala,CRN Noticias
Largas filas afuera del IGSS para realizarse pruebas de Covid-19,https://www.deguate.com/artman/publish/noticias-guatemala/largas-filas-afuera-del-igss-para-realizarse-pruebas-de-covid-19.shtml,"Guatemala. Este lunes se observaron largas colas de personas afuera del IGSS, para hacerse la prueba del Covid-19. En diversos mensajes, el Ministerio de Salud Pública y Asistencia Social (MSPAS) busc",04-01-2021 20:57,https://www.bing.com/th?id=OVFT.kUqcwNG3QjCONlUxrhKQsi,Guatemala,De Guate
Así avanza el proceso de compra y llegada de la vacuna contra el coronavirus a Guatemala,https://www.guatevision.com/nacionales/asi-avanza-el-proceso-de-compra-y-llegada-de-la-vacuna-contra-el-coronavirus-a-guatemala,Autoridades dan a conocer los avances sobre las negociaciones para la compra de vacunas contra el coronavirus.,04-01-2021 21:01,https://www.bing.com/th?id=OVFT.LQjzZPOvkmOdMCenUe4EfS,Guatemala,Guatevision
Salud avanza en mecanismos para compra y llegada de vacunas contra el coronavirus a Guatemala,https://www.prensalibre.com/guatemala/comunitario/salud-avanza-en-mecanismos-para-compra-y-llegada-de-vacunas-contra-el-coronavirus-a-guatemala/,"Salud da a conocer qué vacunas podrían llegar a Guatemala y la fecha del arribo del primer lote. Aunque Guatemala no ha autorizado la importación de ninguna de las vacunas contra el coronavirus, las a",04-01-2021 21:02,https://www.bing.com/th?id=OVFT.rR00QLBgs3Iq_Hapg5ufqi,Guatemala,Prensa Libre
Inguat promoverá destinos turísticos en el marco del bicentenario,https://elmetropolitano.com.gt/es/2021/01/04/inguat-promovera-destinos-turisticos-en-el-marco-del-bicentenario/,"Esta conmemoración es propicia para realizar una serie de actividades y promover los destinos turísticos del país a nivel internacional, según las autoridades. En ese marco, el director del Instituto",04-01-2021 21:11,https://www.bing.com/th?id=OVFT.yKZTMVgfJUlWnqcX592a5i,Guatemala,El Metropolitano
Guatemala tiene otros 181 casos de covid-19 y dos decesos más,https://www.guatevision.com/historico/guatemala-tiene-otros-181-casos-de-covid-19-y-dos-decesos-mas-breaking,En las últimas horas se efectuaron 531 pruebas y se diagnosticaron 181 nuevos contagios de covid-19. El total de casos acumulados registrados en Guatemala es de 138 mil 656 desde que se reportó el pri,04-01-2021 21:19,https://www.bing.com/th?id=OVFT.rxyNBHDl-jbO68klHnY-AS,Guatemala,Guatevision
"Tras verificación de la PDH, IGM dice que agenda hasta 367 citas diarias para pasaportes",https://lahora.gt/tras-verificacion-de-la-pdh-igm-dice-que-agenda-hasta-367-citas-diarias-para-pasaportes/,"Por Grecia Ortíz gortiz@lahora.com.gt Luego de una verificación de la Procuraduría de los Derechos Humanos (PDH) sobre la atención y citas programadas para la emisión de pasaportes, el Instituto Guate",04-01-2021 22:01,https://www.bing.com/th?id=OVFT.gIWxuFrNFN0bRTgHorZ9Ii,Guatemala,La Hora
"Honduras negocia con 11 farmacéuticas por vacunas contra COVID-19, dice funcionaria",https://elperiodico.com.gt/noticias/internacionales/2021/01/04/honduras-negocia-con-11-farmaceuticas-por-vacunas-contra-covid-19-dice-funcionaria/,Las vacunas contra COVID-19 estarán entrando en el país centroamericano en el trascurso del segundo trimestre de 2021.,04-01-2021 22:41,https://www.bing.com/th?id=OVFT.6Qni-fYp0mr16C9ZyOH-BC,Guatemala,El Periódico Guatemala
Posibles fechas para semifinales. Aunque Comunicaciones propone cancelar torneo,https://stereo100.com.gt/2021/posibles-fechas-para-semifinales-aunque-comunicaciones-propone-cancelar-torneo/,"Con información de ESPN Guatemala. Presidente de Comunicaciones FC, Juan García, pide que se cancele el torneo Apertura 2020 en la Liga Mayor del Fútbol de Guatemala y que se declare desierto, cuando",05-01-2021 00:39,https://www.bing.com/th?id=OVFT.IVG8haRwdhmVUK4gbHuIHy,Guatemala,Stereo 100
